,Kelly,Max Quad Util,Max Sharpe,CLA Max Sharpe,Min Vol,CLA Min Vol
ALGN,0.105,0.04246,0.10077,0.03004,0.0,0.0
ANSS,0.0,0.07619,0.0,0.08896,0.11684,0.11684
ASML,0.047,0.06543,0.05208,0.05812,0.03613,0.03613
ATVI,0.224,0.08927,0.21445,0.05566,0.0,0.0
BKNG,0.0,0.05042,0.0,0.06783,0.11081,0.11081
CHTR,0.0,0.00789,0.0,0.01557,0.03935,0.03935
CMCSA,0.0,0.03583,0.0,0.0696,0.16982,0.16982
DXCM,0.034,0.02665,0.03458,0.01782,0.0,0.0
EA,0.1,0.10069,0.10241,0.08665,0.01994,0.01994
GILD,0.0,0.01419,0.0,0.04209,0.11693,0.11693
GOOG,0.14,0.22882,0.15579,0.21491,0.1533,0.1533
MELI,0.171,0.07149,0.16498,0.04477,0.0,0.0
PCAR,0.0,0.01099,0.0,0.03665,0.11553,0.11553
TCOM,0.0,0.02,0.0,0.02854,0.0437,0.0437
TMUS,0.0,0.04699,0.0,0.0516,0.05779,0.05779
TSLA,0.18,0.1127,0.17496,0.09119,0.01986,0.01986
